,Unnamed: 0,START_DATE,END_DATE,START,STOP,MILES,date,time,day-night,DAY,CATEGORY_Business,CATEGORY_Personal,PURPOSE_Airport/Travel,PURPOSE_Between Offices,PURPOSE_Charity ($),PURPOSE_Commute,PURPOSE_Customer Visit,PURPOSE_Errand/Supplies,PURPOSE_Meal/Entertain,PURPOSE_Meeting,PURPOSE_Moving,PURPOSE_NOT,PURPOSE_Temporary Site,MONTH
30,31,2016-01-18 16:13:00,2016-01-18 16:24:00,Farmington Woods,Whitebridge,4.7,2016-01-18,16.0,Evening,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
31,32,2016-01-19 09:09:00,2016-01-19 09:23:00,Whitebridge,Lake Wellingborough,7.2,2016-01-19,9.0,Morning,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Jan
32,33,2016-01-19 10:55:00,2016-01-19 11:09:00,Lake Wellingborough,Whitebridge,7.6,2016-01-19,10.0,Morning,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Jan
33,34,2016-01-20 10:36:00,2016-01-20 11:11:00,Cary,Raleigh,17.1,2016-01-20,10.0,Morning,Wed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
34,35,2016-01-20 11:48:00,2016-01-20 12:19:00,Fayetteville Street,Umstead,15.1,2016-01-20,11.0,Afternoon,Wed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
35,36,2016-01-20 13:25:00,2016-01-20 14:19:00,Raleigh,Cary,40.2,2016-01-20,13.0,Afternoon,Wed,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
36,37,2016-01-21 14:25:00,2016-01-21 14:29:00,Cary,Cary,1.6,2016-01-21,14.0,Afternoon,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
37,38,2016-01-21 14:43:00,2016-01-21 14:51:00,Cary,Cary,2.4,2016-01-21,14.0,Afternoon,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
38,39,2016-01-21 16:01:00,2016-01-21 16:06:00,Cary,Cary,1.0,2016-01-21,16.0,Evening,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
39,40,2016-01-26 10:41:00,2016-01-26 10:50:00,Whitebridge,Hazelwood,2.0,2016-01-26,10.0,Morning,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
40,41,2016-01-26 12:33:00,2016-01-26 12:41:00,Hazelwood,Whitebridge,2.3,2016-01-26,12.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
41,42,2016-01-26 16:24:00,2016-01-26 16:32:00,Whitebridge,Westpark Place,1.9,2016-01-26,16.0,Evening,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
42,43,2016-01-26 17:17:00,2016-01-26 17:22:00,Cary,Cary,1.4,2016-01-26,17.0,Evening,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
43,44,2016-01-26 17:27:00,2016-01-26 17:29:00,Cary,Cary,0.5,2016-01-26,17.0,Evening,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
44,45,2016-01-27 09:24:00,2016-01-27 09:31:00,Cary,Cary,1.8,2016-01-27,9.0,Morning,Wed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
45,46,2016-01-27 10:19:00,2016-01-27 10:48:00,Cary,Raleigh,18.7,2016-01-27,10.0,Morning,Wed,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
46,47,2016-01-27 12:34:00,2016-01-27 12:44:00,Fairmont,Meredith Townes,3.4,2016-01-27,12.0,Afternoon,Wed,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
47,48,2016-01-27 14:05:00,2016-01-27 14:13:00,Raleigh,Raleigh,2.7,2016-01-27,14.0,Afternoon,Wed,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
48,49,2016-01-27 14:46:00,2016-01-27 15:08:00,Raleigh,Cary,12.9,2016-01-27,14.0,Afternoon,Wed,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
49,50,2016-01-28 12:28:00,2016-01-28 13:00:00,Cary,Raleigh,19.0,2016-01-28,12.0,Afternoon,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Jan
50,51,2016-01-28 15:11:00,2016-01-28 15:31:00,Meredith Townes,Leesville Hollow,14.7,2016-01-28,15.0,Afternoon,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
51,52,2016-01-28 16:21:00,2016-01-28 16:51:00,Raleigh,Cary,15.7,2016-01-28,16.0,Evening,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
52,53,2016-01-29 09:31:00,2016-01-29 09:45:00,Cary,Cary,4.6,2016-01-29,9.0,Morning,Fri,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
53,54,2016-01-29 10:56:00,2016-01-29 11:07:00,Cary,Cary,5.2,2016-01-29,10.0,Morning,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
54,55,2016-01-29 11:43:00,2016-01-29 12:03:00,Cary,Durham,10.4,2016-01-29,11.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
55,56,2016-01-29 13:24:00,2016-01-29 13:47:00,Durham,Cary,10.1,2016-01-29,13.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
56,57,2016-01-29 18:31:00,2016-01-29 18:52:00,Cary,Apex,5.8,2016-01-29,18.0,Evening,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
57,58,2016-01-29 21:21:00,2016-01-29 21:40:00,Apex,Cary,5.5,2016-01-29,21.0,Night,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
58,59,2016-01-30 16:21:00,2016-01-30 16:33:00,Cary,Apex,5.7,2016-01-30,16.0,Evening,Sat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
59,60,2016-01-30 18:09:00,2016-01-30 18:24:00,Apex,Cary,5.7,2016-01-30,18.0,Evening,Sat,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
60,61,2016-02-01 10:35:00,2016-02-01 11:15:00,Cary,Chapel Hill,19.4,2016-02-01,10.0,Morning,Mon,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb
61,62,2016-02-01 12:10:00,2016-02-01 12:43:00,Chapel Hill,Cary,23.3,2016-02-01,12.0,Afternoon,Mon,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb
62,63,2016-02-01 12:56:00,2016-02-01 13:07:00,Northwoods,Whitebridge,3.9,2016-02-01,12.0,Afternoon,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
63,64,2016-02-02 13:04:00,2016-02-02 13:23:00,Whitebridge,Williamsburg Manor,8.3,2016-02-02,13.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
64,65,2016-02-02 13:51:00,2016-02-02 14:06:00,Cary,Cary,6.0,2016-02-02,13.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Feb
65,66,2016-02-02 14:38:00,2016-02-02 14:42:00,Cary,Cary,1.6,2016-02-02,14.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Feb
66,67,2016-02-04 08:40:00,2016-02-04 09:01:00,Cary,Morrisville,5.2,2016-02-04,8.0,Morning,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Feb
67,68,2016-02-04 09:37:00,2016-02-04 10:09:00,Morrisville,Cary,9.7,2016-02-04,9.0,Morning,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
68,69,2016-02-04 10:26:00,2016-02-04 10:32:00,Cary,Cary,1.6,2016-02-04,10.0,Morning,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
69,70,2016-02-04 15:59:00,2016-02-04 16:03:00,Cary,Cary,1.1,2016-02-04,15.0,Afternoon,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
70,71,2016-02-04 16:35:00,2016-02-04 16:39:00,Cary,Cary,1.6,2016-02-04,16.0,Evening,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
71,72,2016-02-04 18:04:00,2016-02-04 18:31:00,Whitebridge,Macgregor Downs,9.0,2016-02-04,18.0,Evening,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
72,73,2016-02-04 20:36:00,2016-02-04 20:55:00,Cary,Cary,7.7,2016-02-04,20.0,Night,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
73,74,2016-02-05 11:47:00,2016-02-05 12:07:00,Cary,Durham,10.4,2016-02-05,11.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
74,75,2016-02-05 13:22:00,2016-02-05 13:41:00,Durham,Cary,10.4,2016-02-05,13.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
75,76,2016-02-06 16:20:00,2016-02-06 16:53:00,Cary,Raleigh,11.4,2016-02-06,16.0,Evening,Sat,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb
76,77,2016-02-06 18:57:00,2016-02-06 19:21:00,Raleigh,Cary,9.0,2016-02-06,18.0,Evening,Sat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Feb
77,78,2016-02-06 19:28:00,2016-02-06 19:37:00,Edgehill Farms,Whitebridge,3.2,2016-02-06,19.0,Evening,Sat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
78,79,2016-02-07 16:49:00,2016-02-07 17:01:00,Cary,Apex,5.6,2016-02-07,16.0,Evening,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Feb
79,80,2016-02-07 18:03:00,2016-02-07 18:17:00,Apex,Cary,5.7,2016-02-07,18.0,Evening,Sun,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb
80,81,2016-02-07 18:39:00,2016-02-07 18:53:00,Cary,Morrisville,6.1,2016-02-07,18.0,Evening,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feb
81,82,2016-02-07 20:22:00,2016-02-07 20:40:00,Morrisville,Cary,6.1,2016-02-07,20.0,Night,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
82,83,2016-02-08 12:57:00,2016-02-08 13:08:00,Whitebridge,Edgehill Farms,4.3,2016-02-08,12.0,Afternoon,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
83,84,2016-02-08 14:00:00,2016-02-08 14:10:00,Edgehill Farms,Whitebridge,2.7,2016-02-08,14.0,Afternoon,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
84,85,2016-02-09 10:54:00,2016-02-09 11:07:00,Whitebridge,Northwoods,5.3,2016-02-09,10.0,Morning,Tues,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
85,86,2016-02-09 11:43:00,2016-02-09 11:50:00,Northwoods,Tanglewood,3.0,2016-02-09,11.0,Afternoon,Tues,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
86,87,2016-02-09 13:36:00,2016-02-09 13:52:00,Tanglewood,Preston,5.1,2016-02-09,13.0,Afternoon,Tues,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
87,88,2016-02-09 13:58:00,2016-02-09 14:02:00,Preston,Whitebridge,1.5,2016-02-09,13.0,Afternoon,Tues,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
88,89,2016-02-09 18:55:00,2016-02-09 19:11:00,Cary,Morrisville,6.1,2016-02-09,18.0,Evening,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
89,90,2016-02-09 20:24:00,2016-02-09 20:40:00,Morrisville,Cary,6.1,2016-02-09,20.0,Night,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
90,91,2016-02-11 16:28:00,2016-02-11 17:10:00,Cary,Raleigh,17.3,2016-02-11,16.0,Evening,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
91,92,2016-02-11 17:49:00,2016-02-11 18:10:00,Eastgate,Walnut Terrace,5.7,2016-02-11,17.0,Evening,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Feb
92,93,2016-02-11 18:24:00,2016-02-11 18:46:00,Raleigh,Morrisville,13.5,2016-02-11,18.0,Evening,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feb
93,94,2016-02-11 20:36:00,2016-02-11 20:51:00,Morrisville,Cary,6.1,2016-02-11,20.0,Night,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feb
94,95,2016-02-12 08:21:00,2016-02-12 08:42:00,Cary,Durham,8.5,2016-02-12,8.0,Morning,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feb
95,96,2016-02-12 10:45:00,2016-02-12 10:52:00,Durham,Morrisville,2.6,2016-02-12,10.0,Morning,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feb
96,97,2016-02-12 11:14:00,2016-02-12 11:35:00,Morrisville,Raleigh,17.0,2016-02-12,11.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb
97,98,2016-02-12 13:02:00,2016-02-12 13:36:00,Raleigh,Cary,18.0,2016-02-12,13.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
98,99,2016-02-12 14:49:00,2016-02-12 15:06:00,Cary,Morrisville,8.4,2016-02-12,14.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
99,100,2016-02-12 15:33:00,2016-02-12 16:06:00,Morrisville,Cary,11.5,2016-02-12,15.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb
100,101,2016-02-13 14:21:00,2016-02-13 14:41:00,Cary,Morrisville,8.9,2016-02-13,14.0,Afternoon,Sat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
101,102,2016-02-13 23:45:00,2016-02-14 00:01:00,East Elmhurst,Jackson Heights,2.7,2016-02-13,23.0,Night,Sat,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
102,104,2016-02-14 14:07:00,2016-02-14 14:40:00,East Elmhurst,New York,8.1,2016-02-14,14.0,Afternoon,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
103,105,2016-02-14 14:46:00,2016-02-14 15:03:00,Midtown,Midtown West,2.0,2016-02-14,14.0,Afternoon,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
104,106,2016-02-14 16:35:00,2016-02-14 17:02:00,New York,Long Island City,13.0,2016-02-14,16.0,Evening,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
105,107,2016-02-14 17:06:00,2016-02-14 17:29:00,Long Island City,Jamaica,13.9,2016-02-14,17.0,Evening,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Feb
106,108,2016-02-16 03:21:00,2016-02-16 04:13:00,Katunayaka,Unknown Location,43.7,2016-02-16,3.0,Morning,Tues,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb
107,109,2016-02-16 08:29:00,2016-02-16 09:34:00,Unknown Location,Colombo,14.1,2016-02-16,8.0,Morning,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
108,110,2016-02-16 10:31:00,2016-02-16 10:41:00,Colombo,Colombo,2.6,2016-02-16,10.0,Morning,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
109,111,2016-02-16 11:32:00,2016-02-16 12:02:00,Colombo,Colombo,4.5,2016-02-16,11.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
110,112,2016-02-16 12:39:00,2016-02-16 12:42:00,Colombo,Colombo,1.7,2016-02-16,12.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Feb
111,113,2016-02-16 13:43:00,2016-02-16 13:55:00,Colombo,Colombo,1.8,2016-02-16,13.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Feb
